id	heuristic_role	explicit	quote	context
001	greg		“What made it true.”	“What made it true.”
002	greg		“You want the whole story.”	“You want the whole story.”
003	dragon		“Yes.”	“Yes.”
004	greg		“No.”	“No.”
005	dragon		“See? Useful word.”	“See? Useful word.”
006	greg		“It is.”	“It is.”
007	dragon		“Glad we agree.”	“Glad we agree.”
008	greg		“We do not.”	“We do not.”
009	dragon		“Close enough.”	“Close enough.”
010	greg		“No.”	“No.”
011	greg	greg	“The Line is failing now,”	“The Line is failing now,” I said. “That part has a clock.”
012	greg	greg	“That part has a clock.”	“The Line is failing now,” I said. “That part has a clock.”
013	dragon		“You have said this.”	“You have said this.”
014	greg		“And you still haven't agreed to help.”	“And you still haven't agreed to help.”
015	dragon		“Yes.”	“Yes.”
016	greg		“Which means I should probably keep saying it.”	“Which means I should probably keep saying it.”
017	dragon		“No.”	“No.”
018	greg		“Do you know how negotiations work?”	“Do you know how negotiations work?”
019	dragon		“Yes.”	“Yes.”
020	greg		“Have you ever been in one?”	“Have you ever been in one?”
021	dragon		“Many.”	“Many.”
022	greg		“Did the other side enjoy them?”	“Did the other side enjoy them?”
023	dragon		“No.”	“No.”
024	greg		“Right.”	“Right.”
025	dragon	dragon	“You came here for the Line,”	“You came here for the Line,” Ithar said.
026	greg		“Yes.”	“Yes.”
027	dragon		“No.”	“No.”
028	greg		“That is irritating.”	“That is irritating.”
029	dragon		“You came here because of the Line.”	“You came here because of the Line.”
030	greg		“Same thing.”	“Same thing.”
031	dragon		“No.”	“No.”
032	greg		“Explain.”	“Explain.”
033	dragon		“You knew my name before the western stations began failing.”	“You knew my name before the western stations began failing.”
034	greg		“You knew the mountain before the ninth station bled pressure into the eastern sink.”	“You knew the mountain before the ninth station bled pressure into the eastern sink.”
035	dragon		“You knew Nhal had known me before your present kingdom appointed the first keeper now attempting to repair that station.”	“You knew Nhal had known me before your present kingdom appointed the first keeper now attempting to repair that station.”
036	greg		“You searched for me before the crisis you offered as your reason for arriving.”	“You searched for me before the crisis you offered as your reason for arriving.”
037	dragon		“I researched possibilities.”	“I researched possibilities.”
038	greg		“For what?”	“For what?”
039	dragon		“The future.”	“The future.”
040	greg		“That is not an answer.”	“That is not an answer.”
041	dragon		“It is if you're willing to be generous.”	“It is if you're willing to be generous.”
042	greg		“I am not.”	“I am not.”
043	dragon		“Noted.”	“Noted.”
044	dragon	dragon	“If I fix the Line,”	“If I fix the Line,” he said, “what do you do next?”
045	dragon	dragon	“what do you do next?”	“If I fix the Line,” he said, “what do you do next?”
046	greg		“Go home.”	“Go home.”
047	dragon		“Where?”	“Where?”
048	greg		“South.”	“South.”
049	dragon		“That is a direction.”	“That is a direction.”
050	greg		“It has been working for maps.”	“It has been working for maps.”
051	dragon		“What is home?”	“What is home?”
052	greg		“That is a different question.”	“That is a different question.”
053	dragon		“Yes.”	“Yes.”
054	greg		“You didn't ask it.”	“You didn't ask it.”
055	dragon		“I have now.”	“I have now.”
056	greg		“Home is where my things are.”	“Home is where my things are.”
057	dragon		“Poor definition.”	“Poor definition.”
058	greg		“Most definitions are poor if you keep touching them.”	“Most definitions are poor if you keep touching them.”
059	dragon		“Where are your things?”	“Where are your things?”
060	greg		“South.”	“South.”
061	dragon		“What do you do after you return south?”	“What do you do after you return south?”
062	greg		“Eat.”	“Eat.”
063	dragon		“And then?”	“And then?”
064	greg		“Sleep.”	“Sleep.”
065	dragon		“And then?”	“And then?”
066	greg		“Complain about the mountain.”	“Complain about the mountain.”
067	dragon		“And then?”	“And then?”
068	greg		“Recover the horse, if the horse has developed a conscience.”	“Recover the horse, if the horse has developed a conscience.”
069	dragon		“And then?”	“And then?”
070	greg		“You could do this forever.”	“You could do this forever.”
071	dragon		“Yes.”	“Yes.”
072	greg		“That wasn't admiration.”	“That wasn't admiration.”
073	dragon		“I know.”	“I know.”
074	greg		“And then I live.”	“And then I live.”
075	dragon		“You have already done that twice.”	“You have already done that twice.”
076	greg		“Don't.”	“Don't.”
077	dragon		“Do not what?”	“Do not what?”
078	greg		“Turn that into whatever you're about to turn it into.”	“Turn that into whatever you're about to turn it into.”
079	dragon		“I have not turned it into anything.”	“I have not turned it into anything.”
080	greg		“You were going to.”	“You were going to.”
081	dragon		“No.”	“No.”
082	dragon	dragon	“You were searching for me before the Line failed,”	“You were searching for me before the Line failed,” he said.
083	greg		“There it is.”	“There it is.”
084	dragon		“Yes.”	“Yes.”
085	greg		“For reasons I have not given you.”	“For reasons I have not given you.”
086	dragon		“Yes.”	“Yes.”
087	greg		“And you're assuming those reasons matter.”	“And you're assuming those reasons matter.”
088	dragon		“No.”	“No.”
089	greg		“I am assuming only that they exist.”	“I am assuming only that they exist.”
090	dragon		“That is annoyingly fair.”	“That is annoyingly fair.”
091	greg		“Yes.”	“Yes.”
092	dragon		“I didn't mean it as praise.”	“I didn't mean it as praise.”
093	greg		“I know.”	“I know.”
094	dragon		“What happened at the end of your first life?”	“What happened at the end of your first life?”
095	greg		“No.”	“No.”
096	dragon		“Why?”	“Why?”
097	greg		“Because we're not doing this.”	“Because we're not doing this.”
098	dragon		“We are.”	“We are.”
099	greg		“No. We're discussing the Line.”	“No. We're discussing the Line.”
100	dragon		“We finished discussing the Line.”	“We finished discussing the Line.”
101	greg		“You said no.”	“You said no.”
102	dragon		“Yes.”	“Yes.”
103	greg		“That is not finishing.”	“That is not finishing.”
104	dragon		“It was for me.”	“It was for me.”
105	greg		“Do you want payment?”	“Do you want payment?”
106	dragon		“No.”	“No.”
107	greg		“Gold?”	“Gold?”
108	dragon		“No.”	“No.”
109	greg		“Land?”	“Land?”
110	dragon		“No.”	“No.”
111	greg		“You like mountains. I could probably find you another one.”	“You like mountains. I could probably find you another one.”
112	dragon		“I possess enough mountain.”	“I possess enough mountain.”
113	greg		“Good sentence.”	“Good sentence.”
114	dragon		“Thank you.”	“Thank you.”
115	greg		“You're welcome.”	“You're welcome.”
116	greg	greg	“What do you want?”	“What do you want?” I asked.
117	dragon		“You.”	“You.”
118	greg		“That sounded worse than you meant it.”	“That sounded worse than you meant it.”
119	dragon		“No.”	“No.”
120	greg		“Of course.”	“Of course.”
121	dragon		“Your account.”	“Your account.”
122	greg		“Better.”	“Better.”
123	dragon		“The discrepancy began with you. Your Line knowledge may be consequence, coincidence, or merely one expression of the same event. The name is another. Nhal is another. Your body attempting movements it has not learned is another. Your present rank being inconsistent with the habits your body displays is another.”	“The discrepancy began with you. Your Line knowledge may be consequence, coincidence, or merely one expression of the same event. The name is another. Nhal is another. Your body attempting movements it has not learned is another. Your present rank being inconsistent with the habits your body displays is another.”
124	greg		“My rank isn't inconsistent.”	“My rank isn't inconsistent.”
125	dragon		“You moved before the stone in a way your leg cannot presently support.”	“You moved before the stone in a way your leg cannot presently support.”
126	greg		“That was luck.”	“That was luck.”
127	dragon		“No.”	“No.”
128	greg		“Training.”	“Training.”
129	dragon		“Not this body's.”	“Not this body's.”
130	dragon		“You keep offering nouns as explanations. Returned. Remembered. S-class. Ranker. Line. Nhal. Life. Each one is a container. You place forty years inside a word and then appear irritated when I ask what is in it.”	“You keep offering nouns as explanations. Returned. Remembered. S-class. Ranker. Line. Nhal. Life. Each one is a container. You place forty years inside a word and then appear irritated when I ask what is in it.”
131	greg		“I am irritated.”	“I am irritated.”
132	dragon		“Yes.”	“Yes.”
133	greg		“You're enjoying that.”	“You're enjoying that.”
134	dragon		“I am interested in it.”	“I am interested in it.”
135	greg		“Same problem.”	“Same problem.”
136	dragon		“No.”	“No.”
137	greg	greg	“What?”	“What?” I said.
138	dragon		“You altered.”	“You altered.”
139	greg		“People do that.”	“People do that.”
140	dragon		“What did you remember?”	“What did you remember?”
141	greg		“Nothing relevant.”	“Nothing relevant.”
142	dragon		“Greg.”	“Greg.”
143	greg		“No.”	“No.”
144	dragon		“Why?”	“Why?”
145	greg		“Because it was nothing.”	“Because it was nothing.”
146	dragon		“You remembered nothing strongly enough to change your pulse.”	“You remembered nothing strongly enough to change your pulse.”
147	greg		“See? This is exactly why I don't want to do forty years with you.”	“See? This is exactly why I don't want to do forty years with you.”
148	dragon		“You assume forty.”	“You assume forty.”
149	greg		“No.”	“No.”
150	dragon		“Yes.”	“Yes.”
151	greg		“The first life was forty too.”	“The first life was forty too.”
152	dragon		“Yes.”	“Yes.”
153	greg		“I am not telling you eighty years.”	“I am not telling you eighty years.”
154	dragon		“Why?”	“Why?”
155	greg		“You're serious.”	“You're serious.”
156	dragon		“Yes.”	“Yes.”
157	greg		“I could die before we finish.”	“I could die before we finish.”
158	dragon		“You could die before lunch.”	“You could die before lunch.”
159	greg		“Comforting.”	“Comforting.”
160	dragon		“It was not intended to comfort you.”	“It was not intended to comfort you.”
161	greg		“I know.”	“I know.”
162	dragon		“I do not require eighty years in sequence.”	“I do not require eighty years in sequence.”
163	greg		“You believe the second life is the story because it is the one you inhabit. Reasonable. You also believe the first is context because you have already assigned its role. Less reasonable.”	“You believe the second life is the story because it is the one you inhabit. Reasonable. You also believe the first is context because you have already assigned its role. Less reasonable.”
164	dragon		“In the second life, every choice made with foreknowledge carries a piece of the first. Every person you sought because you remembered them. Every person you avoided. Every road you did not take. Every skill you attempted before your body was ready. Every danger you recognized. Every danger you failed to recognize because you believed you already understood it.”	“In the second life, every choice made with foreknowledge carries a piece of the first. Every person you sought because you remembered them. Every person you avoided. Every road you did not take. Every skill you attempted before your body was ready. Every danger you recognized. Every danger you failed to recognize because you believed you already understood it.”
165	greg		“The first life is not background to the second. It is pressure applied to it.”	“The first life is not background to the second. It is pressure applied to it.”
166	dragon		“You may describe the second life as the path. When the path depends upon the first, you will tell me enough of the first to explain the dependency.”	“You may describe the second life as the path. When the path depends upon the first, you will tell me enough of the first to explain the dependency.”
167	greg		“That sounds suspiciously like a rule.”	“That sounds suspiciously like a rule.”
168	dragon		“Yes.”	“Yes.”
169	greg		“In my story.”	“In my story.”
170	dragon		“Yes.”	“Yes.”
171	greg		“Which I'm telling you as payment.”	“Which I'm telling you as payment.”
172	dragon		“No.”	“No.”
173	greg		“No?”	“No?”
174	dragon		“You are telling me because I am interested.”	“You are telling me because I am interested.”
175	greg		“And then you'll help.”	“And then you'll help.”
176	dragon		“I have not said that.”	“I have not said that.”
177	greg		“Then it is payment for the possibility that you become less annoying.”	“Then it is payment for the possibility that you become less annoying.”
178	dragon		“No.”	“No.”
179	greg		“I'm negotiating.”	“I'm negotiating.”
180	dragon		“Poorly.”	“Poorly.”
181	greg		“Still counts.”	“Still counts.”
182	greg	greg	“Fine,”	“Fine,” I said. “Life Two is the spine. Life One where it matters.”
183	greg	greg	“Life Two is the spine. Life One where it matters.”	“Fine,” I said. “Life Two is the spine. Life One where it matters.”
184	dragon		“You do not decide what matters alone.”	“You do not decide what matters alone.”
185	greg		“I am the one remembering it.”	“I am the one remembering it.”
186	dragon		“Yes.”	“Yes.”
187	greg		“That gives me some editorial control.”	“That gives me some editorial control.”
188	dragon		“No.”	“No.”
189	greg		“Some.”	“Some.”
190	dragon		“Very little.”	“Very little.”
191	greg		“More than none.”	“More than none.”
192	dragon		“Acceptable.”	“Acceptable.”
193	greg		“That was easier than expected.”	“That was easier than expected.”
194	dragon		“You have misunderstood the agreement.”	“You have misunderstood the agreement.”
195	greg		“Probably.”	“Probably.”
196	dragon		“You may compress repetition.”	“You may compress repetition.”
197	greg		“Good.”	“Good.”
198	dragon		“You may omit what you genuinely do not remember.”	“You may omit what you genuinely do not remember.”
199	greg		“Very generous.”	“Very generous.”
200	dragon		“You may not convert years into summaries merely because the years embarrass you, bore you, or fail to support the explanation you currently prefer.”	“You may not convert years into summaries merely because the years embarrass you, bore you, or fail to support the explanation you currently prefer.”
201	greg		“How would you know?”	“How would you know?”
